Combined Feature,Weight,Class,Feature,l1,l2,dist,dist_pix,a,angl
dissimilarity_test_dist_1_angl_2,-0.972833156206959,Class 0,dissimilarity,test,dist,1,0,angl,2
dissimilarity_test_dist_1_angl_1,-0.66775336231232,Class 0,dissimilarity,test,dist,1,0,angl,1
contrast_test_dist_1_angl_4,-0.40567956010443,Class 0,contrast,test,dist,1,0,angl,4
entropy_test_dist_1_angl_3,-0.375125517860623,Class 0,entropy,test,dist,1,0,angl,3
dissimilarity_test_dist_1_angl_4,-0.321436336025183,Class 0,dissimilarity,test,dist,1,0,angl,4
contrast_test_dist_1_angl_2,-0.220291541245456,Class 0,contrast,test,dist,1,0,angl,2
homogeneity_test_dist_1_angl_1,-0.207146789713445,Class 0,homogeneity,test,dist,1,0,angl,1
homogeneity_test_dist_1_angl_3,-0.177036385364669,Class 0,homogeneity,test,dist,1,0,angl,3
ASM_test_dist_1_angl_4,-0.168086954745596,Class 0,ASM,test,dist,1,0,angl,4
ASM_test_dist_1_angl_2,-0.138612308322607,Class 0,ASM,test,dist,1,0,angl,2
correlation_test_dist_1_angl_4,-0.114005913248411,Class 0,correlation,test,dist,1,0,angl,4
std_test_dist_1_angl_4,-0.058635702123653,Class 0,std,test,dist,1,0,angl,4
ASM_test_dist_1_angl_1,-0.055597969622181,Class 0,ASM,test,dist,1,0,angl,1
variance_test_dist_1_angl_2,-0.046656095117418,Class 0,variance,test,dist,1,0,angl,2
entropy_test_dist_1_angl_2,-0.044462461733007,Class 0,entropy,test,dist,1,0,angl,2
ASM_test_dist_1_angl_3,-0.044170420998537,Class 0,ASM,test,dist,1,0,angl,3
dissimilarity_test_dist_1_angl_3,-0.043190143107482,Class 0,dissimilarity,test,dist,1,0,angl,3
std_test_dist_1_angl_3,-0.027046164966875,Class 0,std,test,dist,1,0,angl,3
entropy_test_dist_1_angl_1,-0.022434247428802,Class 0,entropy,test,dist,1,0,angl,1
energy_test_dist_1_angl_1,-0.02064801690917,Class 0,energy,test,dist,1,0,angl,1
homogeneity_test_dist_1_angl_4,-0.017452381118429,Class 0,homogeneity,test,dist,1,0,angl,4
energy_test_dist_1_angl_2,-0.012319247229951,Class 0,energy,test,dist,1,0,angl,2
correlation_test_dist_1_angl_1,-0.003284972238732,Class 0,correlation,test,dist,1,0,angl,1
correlation_test_dist_1_angl_2,-0.000625761512496,Class 0,correlation,test,dist,1,0,angl,2
mean_test_dist_1_angl_3,0.003822770973277,Class 0,mean,test,dist,1,0,angl,3
mean_test_dist_1_angl_4,0.0195896186789,Class 0,mean,test,dist,1,0,angl,4
entropy_test_dist_1_angl_4,0.021994751419142,Class 0,entropy,test,dist,1,0,angl,4
variance_test_dist_1_angl_3,0.025394728355795,Class 0,variance,test,dist,1,0,angl,3
mean_test_dist_1_angl_1,0.034611697153168,Class 0,mean,test,dist,1,0,angl,1
correlation_test_dist_1_angl_3,0.046278995091205,Class 0,correlation,test,dist,1,0,angl,3
variance_test_dist_1_angl_4,0.050980607271916,Class 0,variance,test,dist,1,0,angl,4
energy_test_dist_1_angl_3,0.055251057650098,Class 0,energy,test,dist,1,0,angl,3
mean_test_dist_1_angl_2,0.061174673670754,Class 0,mean,test,dist,1,0,angl,2
variance_test_dist_1_angl_1,0.068652808469405,Class 0,variance,test,dist,1,0,angl,1
std_test_dist_1_angl_1,0.074241020774649,Class 0,std,test,dist,1,0,angl,1
energy_test_dist_1_angl_4,0.098586736322537,Class 0,energy,test,dist,1,0,angl,4
homogeneity_test_dist_1_angl_2,0.142700496759209,Class 0,homogeneity,test,dist,1,0,angl,2
contrast_test_dist_1_angl_1,0.18506074904965,Class 0,contrast,test,dist,1,0,angl,1
std_test_dist_1_angl_2,0.389325195263838,Class 0,std,test,dist,1,0,angl,2
contrast_test_dist_1_angl_3,0.455172226070527,Class 0,contrast,test,dist,1,0,angl,3
dissimilarity_test_dist_2_angl_2,-0.382167940276028,Class 0,dissimilarity,test,dist,2,20,angl,2
std_test_dist_2_angl_3,-0.220964795384514,Class 0,std,test,dist,2,20,angl,3
std_test_dist_2_angl_1,-0.202600174167492,Class 0,std,test,dist,2,20,angl,1
std_test_dist_2_angl_2,-0.185890850107235,Class 0,std,test,dist,2,20,angl,2
correlation_test_dist_2_angl_2,-0.111571295583778,Class 0,correlation,test,dist,2,20,angl,2
energy_test_dist_2_angl_1,-0.08857866387283,Class 0,energy,test,dist,2,20,angl,1
variance_test_dist_2_angl_1,-0.087741629842509,Class 0,variance,test,dist,2,20,angl,1
variance_test_dist_2_angl_4,-0.081008307147029,Class 0,variance,test,dist,2,20,angl,4
homogeneity_test_dist_2_angl_3,-0.079758204776181,Class 0,homogeneity,test,dist,2,20,angl,3
