name,d,a,Dist_pix,Angle_rad,ROC_precise
test_dist_2_angl_3,[20],[0.78539816],20,0.78539816,0.68
test_dist_3_angl_1,[10],[0],10,0,0.68
test_dist_3_angl_3,[10],[0.78539816],10,0.78539816,0.68
test_dist_8_angl_3,[15],[0.78539816],15,0.78539816,0.68
test_dist_16_angl_1,[14],[0],14,0,0.68
test_dist_16_angl_4,[14],[-0.78539816],14,-0.78539816,0.68
test_dist_1_angl_1,[1],[0],1,0,0.69
test_dist_4_angl_4,[5],[-0.78539816],5,-0.78539816,0.7
test_dist_6_angl_3,[4],[0.78539816],4,0.78539816,0.7
test_dist_7_angl_4,[3],[-0.78539816],3,-0.78539816,0.7
test_dist_9_angl_4,[6],[-0.78539816],6,-0.78539816,0.7
test_dist_10_angl_2,[7],[1.57079633],7,1.57079633,0.7
test_dist_11_angl_3,[8],[0.78539816],8,0.78539816,0.7
test_dist_12_angl_3,[9],[0.78539816],9,0.78539816,0.7
test_dist_13_angl_3,[11],[0.78539816],11,0.78539816,0.7
test_dist_14_angl_3,[12],[0.78539816],12,0.78539816,0.7
test_dist_15_angl_1,[13],[0],13,0,0.7
test_dist_16_angl_3,[14],[0.78539816],14,0.78539816,0.7
test_dist_2_angl_4,[20],[-0.78539816],20,-0.78539816,0.71
test_dist_4_angl_1,[5],[0],5,0,0.71
test_dist_5_angl_1,[2],[0],2,0,0.71
test_dist_6_angl_1,[4],[0],4,0,0.71
test_dist_7_angl_1,[3],[0],3,0,0.71
test_dist_8_angl_4,[15],[-0.78539816],15,-0.78539816,0.71
test_dist_9_angl_1,[6],[0],6,0,0.71
test_dist_10_angl_4,[7],[-0.78539816],7,-0.78539816,0.71
test_dist_11_angl_4,[8],[-0.78539816],8,-0.78539816,0.71
test_dist_12_angl_4,[9],[-0.78539816],9,-0.78539816,0.71
test_dist_15_angl_2,[13],[1.57079633],13,1.57079633,0.71
test_dist_15_angl_4,[13],[-0.78539816],13,-0.78539816,0.71
test_dist_1_angl_3,[1],[0.78539816],1,0.78539816,0.72
test_dist_2_angl_1,[20],[0],20,0,0.72
test_dist_8_angl_1,[15],[0],15,0,0.72
test_dist_10_angl_3,[7],[0.78539816],7,0.78539816,0.72
test_dist_11_angl_1,[8],[0],8,0,0.72
test_dist_12_angl_1,[9],[0],9,0,0.72
test_dist_13_angl_2,[11],[1.57079633],11,1.57079633,0.72
test_dist_13_angl_4,[11],[-0.78539816],11,-0.78539816,0.72
test_dist_14_angl_4,[12],[-0.78539816],12,-0.78539816,0.72
test_dist_1_angl_2,[1],[1.57079633],1,1.57079633,0.73
test_dist_2_angl_2,[20],[1.57079633],20,1.57079633,0.73
test_dist_3_angl_4,[10],[-0.78539816],10,-0.78539816,0.73
test_dist_5_angl_2,[2],[1.57079633],2,1.57079633,0.73
test_dist_5_angl_3,[2],[0.78539816],2,0.78539816,0.73
test_dist_6_angl_2,[4],[1.57079633],4,1.57079633,0.73
test_dist_6_angl_4,[4],[-0.78539816],4,-0.78539816,0.73
test_dist_7_angl_3,[3],[0.78539816],3,0.78539816,0.73
test_dist_9_angl_3,[6],[0.78539816],6,0.78539816,0.73
test_dist_11_angl_2,[8],[1.57079633],8,1.57079633,0.73
test_dist_13_angl_1,[11],[0],11,0,0.73
test_dist_14_angl_1,[12],[0],12,0,0.73
test_dist_16_angl_2,[14],[1.57079633],14,1.57079633,0.73
test_dist_1_angl_4,[1],[-0.78539816],1,-0.78539816,0.74
test_dist_5_angl_4,[2],[-0.78539816],2,-0.78539816,0.74
test_dist_7_angl_2,[3],[1.57079633],3,1.57079633,0.74
test_dist_10_angl_1,[7],[0],7,0,0.74
test_dist_12_angl_2,[9],[1.57079633],9,1.57079633,0.74
test_dist_15_angl_3,[13],[0.78539816],13,0.78539816,0.74
test_dist_4_angl_3,[5],[0.78539816],5,0.78539816,0.75
test_dist_14_angl_2,[12],[1.57079633],12,1.57079633,0.75
test_dist_4_angl_2,[5],[1.57079633],5,1.57079633,0.76
test_dist_8_angl_2,[15],[1.57079633],15,1.57079633,0.76
test_dist_9_angl_2,[6],[1.57079633],6,1.57079633,0.76
test_dist_3_angl_2,[10],[1.57079633],10,1.57079633,0.77
